ãCè€í°ÅuâﬂãéÇÃãCè€ÉfÅ[É^ÅEÉ_ÉEÉìÉçÅ[ÉhÅvÇÊÇËéÊìæ 2026/03/18 10:31:25

,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR
îNåéì˙,ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ïΩãœïóë¨(m/s),ïΩãœïóë¨(m/s),ïΩãœïóë¨(m/s),ïΩãœïóë¨(m/s),ïΩãœïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s)
,,,,ïΩîNíl(Åé),ïΩîNíl(Åé),,,,ïΩîNíl(Åé),ïΩîNíl(Åé),,,,ïΩîNíl(Åé),ïΩîNíl(Åé),,,,,ïΩîNíl(mm),ïΩîNíl(mm),ïΩîNíl(mm),,,,ïΩîNíl(m/s),ïΩîNíl(m/s),,,ïóå¸,ïóå¸,,ïΩîNíl(m/s),ïΩîNíl(m/s)
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ
2023/1/1,5.8,8,1,5.1,8,11.9,8,1,10.2,8,0.4,8,1,0.6,8,0,1,8,1,0.9,,8,4.5,8,1,,0,16.6,8,êº,8,1,,0
2023/1/2,5.7,8,1,5.0,8,11.1,8,1,10.1,8,0.5,8,1,0.6,8,0,1,8,1,0.9,,8,3.3,8,1,,0,9.7,8,êºñkêº,8,1,,0
2023/1/3,4.2,8,1,5.0,8,11.0,8,1,10.1,8,-1.6,8,1,0.5,8,0,1,8,1,0.9,,8,3.4,8,1,,0,10.6,8,êº,8,1,,0
2023/1/4,4.3,8,1,4.9,8,10.9,8,1,10.0,8,-0.9,8,1,0.5,8,0,1,8,1,1.0,,8,4.3,8,1,,0,12.3,8,ñkêº,8,1,,0
2023/1/5,4.3,8,1,4.9,8,10.9,8,1,10.0,8,-2.3,8,1,0.4,8,0,1,8,1,1.0,,8,3.0,8,1,,0,10.8,8,êºñkêº,8,1,,0
2023/1/6,4.8,8,1,4.9,8,12.1,8,1,9.9,8,-0.3,8,1,0.4,8,0,1,8,1,1.0,,8,1.8,8,1,,0,9.0,8,ìÏìÏêº,8,1,,0
2023/1/7,3.4,8,1,4.8,8,8.7,8,1,9.9,8,-0.2,8,1,0.4,8,1.5,0,8,1,1.0,,8,2.4,8,1,,0,15.8,8,êºñkêº,8,1,,0
